id,name,type
fora,Fort Raleigh National Historic Site,National Historic Site
fosc,Fort Scott National Historic Site,National Historic Site
fosm,Fort Smith National Historic Site,National Historic Site
fost,Fort Stanwix National Monument,National Monument
fosu,Fort Sumter National Monument,National Monument
foun,Fort Union National Monument,National Monument
fous,Fort Union Trading Post National Historic Site,National Historic Site
fova,Fort Vancouver National Historic Site,National Historic Site
fowa,Fort Washington Park,Park
fobu,Fossil Butte National Monument,National Monument
frde,Franklin Delano Roosevelt Memorial,
frdo,Frederick Douglass National Historic Site,National Historic Site
frla,Frederick Law Olmsted National Historic Site,National Historic Site
frsp,Fredericksburg & Spotsylvania National Military Park,National Military Park
frri,Freedom Riders National Monument,National Monument
frwa,Freedom's Way National Heritage Area,National Heritage Area
frhi,Friendship Hill National Historic Site,National Historic Site
gaar,Gates Of The Arctic National Park & Preserve,National Park & Preserve
gate,Gateway National Recreation Area,National Recreation Area
gari,Gauley River National Recreation Area,National Recreation Area
gegr,General Grant National Memorial,National Memorial
gero,George Rogers Clark National Historical Park,National Historical Park
gewa,George Washington Birthplace National Monument,National Monument
gwca,George Washington Carver National Monument,National Monument
gwmp,George Washington Memorial Parkway,Memorial Parkway
gett,Gettysburg National Military Park,National Military Park
gicl,Gila Cliff Dwellings National Monument,National Monument
glba,Glacier Bay National Park & Preserve,National Park & Preserve
glac,Glacier National Park,National Park
glca,Glen Canyon National Recreation Area,National Recreation Area
glec,Glen Echo Park,Park
glde,Gloria Dei Church National Historic Site,National Historic Site
goga,Golden Gate National Recreation Area,National Recreation Area
gosp,Golden Spike National Historic Site,National Historic Site
gois,Governors Island National Monument,National Monument
grca,Grand Canyon National Park,National Park
grpo,Grand Portage National Monument,National Monument
grte,Grand Teton National Park,National Park
grko,Grant-Kohrs Ranch National Historic Site,National Historic Site
grba,Great Basin National Park,National Park
greg,Great Egg Harbor River,
grfa,Great Falls Park,Park
grsa,Great Sand Dunes National Park & Preserve,National Park & Preserve
grsm,Great Smoky Mountains National Park,National Park
grsp,Green Springs,
gree,Greenbelt Park,Park
gumo,Guadalupe Mountains National Park,National Park
guco,Guilford Courthouse National Military Park,National Military Park
guis,Gulf Islands National Seashore,National Seashore
guge,Gullah/Geechee Cultural Heritage Corridor,Cultural Heritage Corridor
hafo,Hagerman Fossil Beds National Monument,National Monument
hale,Haleakal_ National Park,National Park
hagr,Hamilton Grange National Memorial,National Memorial
hamp,Hampton National Historic Site,National Historic Site
haha,Harmony Hall,
hafe,Harpers Ferry National Historical Park,National Historical Park
hart,Harriet Tubman National Historical Park,National Historical Park
hatu,Harriet Tubman Underground Railroad National Historical Park,National Historical Park
hstr,Harry S Truman National Historic Site,National Historic Site
havo,Hawai'i Volcanoes National Park,National Park
heho,Herbert Hoover National Historic Site,National Historic Site
jame,Historic Jamestowne Part of Colonial National Historical Park,Part of Colonial National Historical Park
hofr,Home Of Franklin D Roosevelt National Historic Site,National Historic Site
home,Homestead National Monument of America,National Monument of America
hono,Honouliuli National Monument,National Monument
hocu,Hopewell Culture National Historical Park,National Historical Park
hofu,Hopewell Furnace National Historic Site,National Historic Site
hobe,Horseshoe Bend National Military Park,National Military Park
hosp,Hot Springs National Park,National Park
hove,Hovenweep National Monument,National Monument
hutr,Hubbell Trading Post National Historic Site,National Historic Site
hurv,Hudson River Valley National Heritage Area,National Heritage Area
inup,I�upiat Heritage Center,
iafl,Ice Age Floods National Geologic Trail,National Geologic Trail
iatr,Ice Age National Scenic Trail,National Scenic Trail
inde,Independence National Historical Park,National Historical Park
indu,Indiana Dunes National Lakeshore,National Lakeshore
isro,Isle Royale National Park,National Park
jaga,James A Garfield National Historic Site,National Historic Site
jela,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve
jeff,Jefferson National Expansion Memorial,National Expansion Memorial
jeca,Jewel Cave National Monument,National Monument
jica,Jimmy Carter National Historic Site,National Historic Site
joda,John Day Fossil Beds National Monument,National Monument
jofi,John Fitzgerald Kennedy National Historic Site,National Historic Site
blac,John H. Chafee Blackstone River Valley National Heritage Corridor,National Heritage Corridor
jomu,John Muir National Historic Site,National Historic Site
jofl,Johnstown Flood National Memorial,National Memorial
jotr,Joshua Tree National Park,National Park
jthg,Journey Through Hallowed Ground National Heritage Area,National Heritage Area
juba,Juan Bautista de Anza National Historic Trail,National Historic Trail
kala,Kalaupapa National Historical Park,National Historical Park
kaho,Kaloko-Honok_hau National Historical Park,National Historical Park
kaww,Katahdin Woods and Waters National Monument,National Monument
katm,Katmai National Park & Preserve,National Park & Preserve
kefj,Kenai Fjords National Park,National Park
keaq,Kenilworth Park & Aquatic Gardens,
kemo,Kennesaw Mountain National Battlefield Park,National Battlefield Park
kewe,Keweenaw National Historical Park,National Historical Park
kimo,Kings Mountain National Military Park,National Military Park
klse,Klondike Gold Rush - Seattle Unit National Historical Park,National Historical Park
klgo,Klondike Gold Rush National Historical Park,National Historical Park
knri,Knife River Indian Villages National Historic Site,National Historic Site
kova,Kobuk Valley National Park,National Park
kowa,Korean War Veterans Memorial,
lach,Lake Chelan National Recreation Area,National Park
lacl,Lake Clark National Park & Preserve,National Park & Preserve
lake,Lake Mead National Recreation Area,National Recreation Area
lamr,Lake Meredith National Recreation Area,National Recreation Area
laro,Lake Roosevelt National Recreation Area,National Recreation Area
lavo,Lassen Volcanic National Park,National Park
labe,Lava Beds National Monument,National Monument
lyba,LBJ Memorial Grove on the Potomac,
lecl,Lewis & Clark National Historic Trail,National Historic Trail
lewi,Lewis and Clark National Historical Park,National Historical Park
libo,Lincoln Boyhood National Memorial,National Memorial
liho,Lincoln Home National Historic Site,National Historic Site
linc,Lincoln Memorial,
libi,Little Bighorn Battlefield National Monument,National Monument
liri,Little River Canyon National Preserve,National Preserve
chsc,Little Rock Central High School National Historic Site,National Historic Site
long,Longfellow House Washington's Headquarters National Historic Site,National Historic Site
lowe,Lowell National Historical Park,National Historical Park
lode,Lower Delaware National Wild and Scenic River,National Wild and Scenic River
loea,Lower East Side Tenement Museum National Historic Site,National Historic Site
lyjo,Lyndon B Johnson National Historical Park,National Historical Park
mawa,Maggie L Walker National Historic Site,National Historic Site
maac,Maine Acadian Culture,
maca,Mammoth Cave National Park,National Park
mana,Manassas National Battlefield Park,National Battlefield Park
mapr,Manhattan Project National Historical Park,National Historical Park
manz,Manzanar National Historic Site,National Historic Site
mabi,Marsh - Billings - Rockefeller National Historical Park,National Historical Park
malu,Martin Luther King Jr National Historic Site,National Historic Site
mlkm,"Martin Luther King, Jr. Memorial",
mava,Martin Van Buren National Historic Site,National Historic Site
mamc,Mary McLeod Bethune Council House National Historic Site,National Historic Site
meve,Mesa Verde National Park,National Park
miin,Minidoka National Historic Site,National Historic Site
mima,Minute Man National Historical Park,National Historical Park
mimi,Minuteman Missile National Historic Site,National Historic Site
mide,Mississippi Delta National Heritage Area,National Heritage Area
migu,Mississippi Gulf National Heritage Area,National Heritage Area
mihi,Mississippi Hills National Heritage Area,National Heritage Area
miss,Mississippi National River and Recreation Area,National River and Recreation Area
mnrr,Missouri National Recreational River,National Recreational River
moja,Mojave National Preserve,National Preserve
mono,Monocacy National Battlefield,National Battlefield
moca,Montezuma Castle National Monument,National Monument
mocr,Moores Creek National Battlefield,National Battlefield
mopi,Mormon Pioneer National Historic Trail,National Historic Trail
morr,Morristown National Historical Park,National Historical Park
auto,Motor Cities National Heritage Area,National Heritage Area
mora,Mount Rainier National Park,National Park
moru,Mount Rushmore National Memorial,National Memorial
muwo,Muir Woods National Monument,National Monument
mush,Muscle Shoals National Heritage Area,National Heritage Area
natc,Natchez National Historical Park,National Historical Park
natt,Natchez Trace National Scenic Trail,National Scenic Trail
natr,Natchez Trace Parkway,Parkway
avia,National Aviation Heritage Area,Heritage Area
nace,National Capital Parks-East,
nama,National Mall and Memorial Parks,
npsa,National Park of American Samoa,National Park
npnh,National Parks of New York Harbor,
nabr,Natural Bridges National Monument,National Monument
nava,Navajo National Monument,National Monument
nebe,New Bedford Whaling National Historical Park,National Historical Park
neen,New England National Scenic Trail,National Scenic Trail
pine,New Jersey Pinelands National Reserve,National Reserve
jazz,New Orleans Jazz National Historical Park,National Historical Park
neri,New River Gorge National River,National River
nepe,Nez Perce National Historical Park,National Historical Park
nifa,Niagara Falls National Heritage Area,National Heritage Area
nico,Nicodemus National Historic Site,National Historic Site
nisi,Ninety Six National Historic Site,National Historic Site
niob,Niobrara National Scenic River,National Scenic River
noat,Noatak National Preserve,National Preserve
noca,North Cascades National Park,National Park
noco,North Country National Scenic Trail,National Scenic Trail
obed,Obed Wild & Scenic River,Wild & Scenic River
ocmu,Ocmulgee National Monument,National Monument
oire,Oil Region National Heritage Area,National Heritage Area
okci,Oklahoma City National Memorial,National Memorial
olsp,Old Spanish National Historic Trail,National Historic Trail
olym,Olympic National Park,National Park
orca,Oregon Caves National Monument & Preserve,National Monument & Preserve
oreg,Oregon National Historic Trail,National Historic Trail
orpi,Organ Pipe Cactus National Monument,National Monument
ovvi,Overmountain Victory National Historic Trail,National Historic Trail
oxhi,Oxon Cove Park & Oxon Hill Farm,
ozar,Ozark National Scenic Riverways,National Scenic Riverways
pais,Padre Island National Seashore,National Seashore
paal,Palo Alto Battlefield National Historical Park,National Historical Park
para,Parashant Grand Canyon-Parashant National Monument,Grand Canyon-Parashant National Monument
pagr,Paterson Great Falls National Historical Park,National Historical Park
peri,Pea Ridge National Military Park,National Military Park
peco,Pecos National Historical Park,National Historical Park
paav,Pennsylvania Avenue,
pevi,Perry's Victory & International Peace Memorial,Memorial
pete,Petersburg National Battlefield,National Battlefield
pefo,Petrified Forest National Park,National Park
petr,Petroglyph National Monument,National Monument
piro,Pictured Rocks National Lakeshore,National Lakeshore
pinn,Pinnacles National Park,National Park
pisp,Pipe Spring National Monument,National Monument
pipe,Pipestone National Monument,National Monument
pisc,Piscataway Park,Park
pore,Point Reyes National Seashore,National Seashore
poex,Pony Express National Historic Trail,National Historic Trail
poch,Port Chicago Naval Magazine National Memorial,National Memorial
pohe,Potomac Heritage National Scenic Trail,National Scenic Trail
popo,Poverty Point National Monument,National Monument
wicl,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site
whho,President's Park (White House),
prsf,Presidio of San Francisco,
prwi,Prince William Forest Park,Park
puho,Pu`uhonua O H_naunau National Historical Park,National Historical Park
puhe,Pu`ukohol_ Heiau National Historic Site,National Historic Site
pull,Pullman National Monument,National Monument
rabr,Rainbow Bridge National Monument,National Monument
reer,Reconstruction Era National Monument,National Monument
redw,Redwood National and State Parks,National and State Parks
rich,Richmond National Battlefield Park,National Battlefield Park
rigr,Rio Grande Wild & Scenic River,Wild & Scenic River
rira,River Raisin National Battlefield Park,National Battlefield Park
rist,Rivers Of Steel National Heritage Area,National Heritage Area
rocr,Rock Creek Park,Park
romo,Rocky Mountain National Park,National Park
rowi,Roger Williams National Memorial,National Memorial
roca,Roosevelt Campobello International Park,International Park
rori,Rosie the Riveter WWII Home Front National Historical Park,National Historical Park
ruca,Russell Cave National Monument,National Monument
sahi,Sagamore Hill National Historic Site,National Historic Site
sagu,Saguaro National Park,National Park
sacr,Saint Croix Island International Historic Site,International Historic Site
sacn,Saint Croix National Scenic Riverway,National Scenic Riverway
sapa,Saint Paul's Church National Historic Site,National Historic Site
saga,Saint-Gaudens National Historic Site,National Historic Site
sama,Salem Maritime National Historic Site,National Historic Site
sapu,Salinas Pueblo Missions National Monument,National Monument
sari,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park and Ecological Preserve
saan,San Antonio Missions National Historical Park,National Historical Park
safr,San Francisco Maritime National Historical Park,National Historical Park
sajh,San Juan Island National Historical Park,National Historical Park
saju,San Juan National Historic Site,National Historic Site
sand,Sand Creek Massacre National Historic Site,National Historic Site
safe,Santa Fe National Historic Trail,National Historic Trail
samo,Santa Monica Mountains National Recreation Area,National Recreation Area
sara,Saratoga National Historical Park,National Historical Park
sair,Saugus Iron Works National Historic Site,National Historic Site
scrv,Schuylkill River Valley National Heritage Area,National Heritage Area
scbl,Scotts Bluff National Monument,National Monument
semo,Selma To Montgomery National Historic Trail,National Historic Trail
seki,Sequoia & Kings Canyon National Parks,National Parks
shen,Shenandoah National Park,National Park
shvb,Shenandoah Valley Battlefields National Historic District,National Historic District
shil,Shiloh National Military Park,National Military Park
sitk,Sitka National Historical Park,National Historical Park
slbe,Sleeping Bear Dunes National Lakeshore,National Lakeshore
