name,size
FT SCOTT NHS KS MW ,16.69
FT SUMTER NM SC SE ,234.74
FT STANWIX NM NY NE ,15.52
FLORISSANT FOSSIL BEDS NM CO IM ,"5,998.09"
FLIGHT ,"2,319.36"
FOSSIL BUTTE NM WY IM ,"8,198.00"
FORD'S THEATRE NHS DC NC ,0.3
FIRE ISLAND NS NY NE ,"19,580.42"
FT LARAMIE NHS WY IM ,873.11
FIRST STATE NHP DE-PA NE ,"1,155.04"
FIRST LADIES NHS OH MW ,0.46
FREDERICK DOUGLASS NHS DC NC ,8.57
FT DAVIS NHS TX IM ,523
FT CAROLINE NMEM FL SE ,138.39
FT FREDERICA NM GA SE ,284.49
FT DONELSON NB TN-KY SE ,"1,308.91"
FRED-SPOTS MEM NMP VA NE ,"8,405.18"
FREDERICK LAW OLMSTED NHS MA NE ,7.21
FT BOWIE NHS AZ IM ,999.45
FRIENDSHIP HILL NHS PA NE ,674.56
GRAND CANYON NP AZ IM ,"1,201,647.03"
GOVERNORS ISLAND NM NY NE ,22.91
GRAND TETON NP WY IM ,"310,043.96"
GRAND PORTAGE NM MN MW ,709.97
GLEN CANYON NRA AZ-UT IM ,"1,254,116.62"
GOLDEN SPIKE NHS UT IM ,"2,735.28"
GOLDEN GATE NRA CA PW ,"82,026.86"
GRANT-KOHRS RANCH NHS MT IM ,"1,618.38"
GREAT SMOKY MTS NP TN-NC SE ,"522,426.88"
GREAT EGG HARBOR N,"43,311.42"
GREAT BASIN NP NV PW ,"77,180.00"
GREAT SAND DUNES NP CO IM ,"107,341.87"
GREAT SAND DUNES N PRES CO IM ,"41,686.00"
G W MEMORIAL PKWY MD-VA NC ,"7,035.22"
G W BIRTHPLACE NM VA NE ,653.18
GATES OF THE ARCTIC NP AK A ,"7,523,897.45"
GATES OF ARCTIC N PRES AK A ,"948,608.07"
FT UNION TRADING POST NHS ND-MT MW ,440.14
GLACIER NP MT IM ,"1,013,128.94"
FT WASHINGTON PARK MD NC ,341
FT VANCOUVER NHS WA PW ,206.72
GATEWAY NRA NJ-NY NE ,"26,606.63"
GILA CLIFF DWELNGS NM NM IM ,533.13
GETTYSBURG NMP PA NE ,"6,032.54"
GLACIER BAY NP AK A ,"3,223,383.43"
GLACIER BAY N PRESERVE AK A ,"58,406.00"
GENERAL GRANT NMEM NY NE ,0.76
GAULEY RIVER NRA WV NE ,"11,566.46"
GEORGE WASH,210
GEORGE R CLARK NHP IN MW ,26.17
HOVENWEEP NM CO-UT IM ,784.93
HOT SPRINGS NP AR MW ,"5,549.10"
INDEPENDENCE NHP PA NE ,44.85
HUBBELL T P NHS AZ IM ,160.09
HOPEWELL CULTURE NHP OH MW ,"1,766.16"
HORSESHOE BEND NMP AL SE ,"2,040.00"
HOPEWELL FURNACE NHS PA NE ,848.06
INDIANA DUNES NL IN MW ,"15,347.13"
JEAN LAFITTE NHP &PRES LA SE ,"22,420.86"
J F KENNEDY NHS MA NE ,0.09
ISLE ROYALE NP MI MW ,"571,790.11"
JDROCKEFELLER MEM PKWY WY IM ,"23,777.22"
JAMES A GARFIELD NHS OH MW ,7.82
HAGERMAN FOSSIL BEDS ID PW ,"4,351.15"
GULF ISLANDS NS FL-MS SE ,"138,305.52"
HAMILTON GRANGE NMEM NY NE ,1.75
HALEAKALA NP HI PW ,"33,264.62"
GREENBELT PARK MD NC ,"1,175.42"
HONOULIULI NM HI PW ,154.46
GUILFORD COURTHS NMP NC SE ,251.49
GUADALUPE MTS NP TX IM ,"86,367.10"
HAMPTON NHS MD NE ,62.04
HOHOKAM PIMA NM AZ IM ,"1,690.00"
HERBERT HOOVER NHS IA MW ,186.8
HOMESTEAD NM OF AMERIC NE MW ,211.09
HOME OF F D R NHS NY NE ,833.43
HARRIET TUBMAN UNDRGR RR NHP MD NE ,480
HARPERS FERRY NHP MD-VA-WV NC ,"3,656.22"
HAWAII VOLCANOES NP HI PW ,"323,431.38"
HARRY S TRUMAN NHS MO MW ,12.59
